"identity_key","countries","openalex_journal","openalex_type","resolved"
"doi:10.3997/2214-4609.202639027","BR; NL; US","","conference-paper","yes"
"doi:10.2118/0326-0015-jpt","","Journal of Petroleum Technology","article","yes"
"doi:10.5281/zenodo.20109894","","Zenodo (CERN European Organization for Nuclear Research)","article","yes"
"arxiv:2601.18381","","arXiv (Cornell University)","preprint","yes"
"doi:10.2523/iptc-24776-ms","CN","International Petroleum Technology Conference","conference-paper","yes"
"arxiv:2605.15028","","arXiv (Cornell University)","preprint","yes"
"doi:10.1016/j.bdes.2026.100042","US","Big Data and Earth System","article","yes"
"doi:10.2118/226728-ms","GB","","conference-paper","yes"
"doi:10.3997/2214-4609.202576039","","","conference-paper","yes"
"doi:10.1016/j.geoai.2025.100036","CN; HK; JP; SG","Geodata and AI.","article","yes"
"doi:10.1038/s44304-026-00262-z","DE; FR","arXiv (Cornell University)","preprint","yes"
"doi:10.2118/229240-ms","AE","","conference-paper","yes"
"doi:10.2523/iptc-25122-ms","AE","","conference-paper","yes"
"doi:10.2118/0426-0008-jpt","IN","Journal of Petroleum Technology","article","yes"
"title:largelanguagemodelagentsindynamicmineplanningamodulardecisionsupportframework","","","","no"
"doi:10.1109/access.2026.3714775","US","IEEE Access","article","yes"
"doi:10.1016/j.aei.2026.105065","AU; CN","Advanced Engineering Informatics","article","yes"
"doi:10.1016/j.petsci.2026.05.031","CN","Petroleum Science","article","yes"
"doi:10.2118/225325-ms","","","conference-paper","yes"
"doi:10.1016/j.sandf.2026.101789","HK; JP; TW","SOILS AND FOUNDATIONS","article","yes"
"doi:10.48550/arxiv.2608.13889","","arXiv (Cornell University)","preprint","yes"
"doi:10.2118/229512-ms","","","conference-paper","yes"
"doi:10.2118/230772-ms","US","IADC/SPE International Drilling Conference and Exhibition","conference-paper","yes"
"doi:10.48550/arxiv.2511.03852","","arXiv (Cornell University)","preprint","yes"
"doi:10.5194/egusphere-egu26-15632","HK","","conference-abstract","yes"
"doi:10.2118/229586-ms","AE","","conference-paper","yes"
"doi:10.2118/221864-ms","","","conference-paper","yes"
"doi:10.3997/2214-4609.202639010","","","conference-paper","yes"
"doi:10.48550/arxiv.2609.01777","","arXiv (Cornell University)","preprint","yes"
"doi:10.63374/qitp-ijpeat_07_02_001","IN","","review","yes"
"doi:10.3997/2214-4609.202639044","US","","conference-paper","yes"
"doi:10.2523/iptc-25230-ms","GB","","conference-paper","yes"
"doi:10.2118/229423-ms","IN","","conference-paper","yes"
"doi:10.5194/egusphere-egu26-9051","CN; HK","","conference-abstract","yes"
